,,,,,,,,,SARS-CoV-2_WT (984),,,,,,,,,,SARS-CoV-2_α (21528),,,,,,,,,,SARS-CoV-2_β (22131),,,,,,,,,,SARS-CoV-2_δ (25853_23),,,,,,,,,,,SARS-CoV-2_BA.1 (26335),,,,,,,,,,SARS-CoV-2_BA.2 (26729_12),,,,,,,,,,,SARS-CoV-2_BA.2 (26729_2),,,,,,,,,,rSARS-CoV-2_B.1+E484K,,,,,,,,,,SARS-CoV-2_BA.4,,,,,,,,,,,,SARS-CoV-2_BA.5,,,,,,,,,,SARS-CoV-2_Mu,,,,,,BQ.1.18,,,,,,,,,,,BF.7,,,,,,,,,,BN.1.3.1,,,,,,,,,,,XBB.2,,,,,,,,,,,EG.5.1 (V140),,,,,,,,,,BA.2.86 (V139),,,,,,,,,,JN.1 (V148),,,,,,,,,,JN.1 (V148)-2,,,,,,,,,
sample ID,Infektion Hamster,,Viruskontrolle (VK),Viruskontrolle 24.01.23,Viruskontrolle Dezember,1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),Viruskontrolle 24.01.23,1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),Viruskontrolle 24.01.23,1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),Viruskontrolle 24.01.23,Viruskontrolle Dezember,1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),,1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),Viruskontrolle (VK) 230331,1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),Viruskontrolle Dezember,1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle Dezember,1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle Dezember,1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle Dezember,1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle Dezember,1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120
VK,-,AVG,56.25,51.25,47, , , , , , , , , ,21,,,,,,,,,,42,,,,,,,,,,23.83,,,,,,,,,,56.5,86,,,,,,,,,,41.25,,,,,,,,,,64.83,79.75,,,,,,,,,,52.75,,,,,,,,,,70,,,,,,,,,,111.83,250,32.2,,,,,,,,,,45.83,,,,,,,,,,31.83,,,,,,,,,,,230,,,,,,,,,,52.5,18.67,,,,,,,,,,47,34,,,,,,,,,,25.17,,,,,,,,,,49,,,,,,,,,,11.5,,,,,,,,,,36,,,,,,,,,
1.1,BA.2 Isolate 26729_2,PFU Ansatz 1,x,,,nd,nd,nd,36,>50,>50,>50,>50,>50,x,nd,nd,1,5,9,16,24,17,nd,x,nd,nd,4,16,23,31,34,45,42,x,4,7,21,25,22,33,33,29,25,x,,nd,nd,nd,0,4,10,19,34,48,x,nd,nd,nd,0,0,0,4,16,23,x,,nd,nd,nd,0,0,0,4,10,38,x,nd,nd,30,50,47,>50,>50,>50,nd,x,nd,nd,nd,4,15,50,67,70,70,x,,,nd,nd,nd,6,30,59,80,102,111,x,nd,nd,9,33,51,69,56,52,57,x,,nd,nd,nd,24,32,32,32,32,32,x,nd,nd,1,27,94,164,230,230,nd,x,,nd,nd,0,6,24,52.5,52.5,52.5,nd,x,,nd,nd,1,21,41,47,47,47,nd,x,nd,0,4,22,23,27,32,nd,nd,x,nd,5,12,26,26,28,25,nd,nd,x,nd,0,0,8,14,9,12,nd,nd,x,nd,0,5,26,38,45,35,nd,nd
,,PFU Ansatz 2,x,,,nd,nd,nd,41,>50,>50,>50,>50,>50,x,nd,nd,2,12,18,22,20,11,nd,x,nd,nd,5,14,24,29,27,37,43,x,1,8,21,28,34,32,32,27,29,x,,nd,nd,nd,0,3,12,19,31,52,x,nd,nd,nd,0,0,0,2,19,27,x,,nd,nd,nd,0,0,1,2,14,23,x,nd,nd,20,42,50,>50,>50,>50,nd,x,nd,nd,nd,3,17,46,75,70,70,x,,,nd,nd,nd,8,22,40,78,117,111,x,nd,nd,13,33,52,59,63,55,53,x,,nd,nd,nd,18,32,32,32,32,32,x,nd,nd,4,27,81,147,230,230,nd,x,,nd,nd,0,5,30,52.5,52.5,52.5,nd,x,,nd,nd,2,14,43,47,47,47,nd,x,nd,2,4,14,20,22,36,nd,nd,x,nd,6,19,34,28,27,36,nd,nd,x,nd,0,1,10,7,13,12,nd,nd,x,nd,0,4,29,30,38,33,nd,nd
,,AVG,x,,,#DIV/0!,#DIV/0!,#DIV/0!,38.5,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,1.5,8.5,13.5,19,22,14,#DIV/0!,x,#DIV/0!,#DIV/0!,4.5,15,23.5,30,30.5,41,42.5,x,2.5,7.5,21,26.5,28,32.5,32.5,28,27,x,,#DIV/0!,#DIV/0!,#DIV/0!,0,3.5,11,19,32.5,50,x,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,3,17.5,25,x,,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0.5,3,12,30.5,x,#DIV/0!,#DIV/0!,25,46,48.5,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,3.5,16,48,71,70,70,x,,,#DIV/0!,#DIV/0!,#DIV/0!,7,26,49.5,79,109.5,111,x,#DIV/0!,#DIV/0!,11,33,51.5,64,59.5,53.5,55,x,,#DIV/0!,#DIV/0!,#DIV/0!,21,32,32,32,32,32,x,#DIV/0!,#DIV/0!,2.5,27,87.5,155.5,230,230,#DIV/0!,x,,#DIV/0!,#DIV/0!,0,5.5,27,52.5,52.5,52.5,#DIV/0!,x,,#DIV/0!,#DIV/0!,1.5,17.5,42,47,47,47,#DIV/0!,x,#DIV/0!,1,4,18,21.5,24.5,34,#DIV/0!,#DIV/0!,x,#DIV/0!,5.5,15.5,30,27,27.5,30.5,#DIV/0!,#DIV/0!,x,#DIV/0!,0,0.5,9,10.5,11,12,#DIV/0!,#DIV/0!,x,#DIV/0!,0,4.5,27.5,34,41.5,34,#DIV/0!,#DIV/0!
,,Plaque reduction (%),x,,,#DIV/0!,#DIV/0!,#DIV/0!,31.55555556,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,92.85714286,59.52380952,35.71428571,9.523809524,-4.761904762,33.33333333,#DIV/0!,x,#DIV/0!,#DIV/0!,89.29,64.29,44.05,28.57,27.38,2.38,-1.19,x,89.51048951,68.53146853,11.89,-11.19,-17.48,-36.36,-36.36,-17.48,-13.29,x,,#DIV/0!,#DIV/0!,#DIV/0!,100,93.80530973,80.53097345,66.37168142,42.47787611,11.50442478,x,#DIV/0!,#DIV/0!,#DIV/0!,100,100,100,92.72727273,57.57575758,39.39393939,x,,#DIV/0!,#DIV/0!,#DIV/0!,100,100,99.23,95.37,81.49,52.96,x,#DIV/0!,#DIV/0!,52.61,12.8,8.06,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,95,77.14,31.43,-1.43,0,0,x,,,#DIV/0!,#DIV/0!,#DIV/0!,93.74,76.75,55.74,29.36,2.09,0.75,x,#DIV/0!,#DIV/0!,76,28,-12.36,-39.64,-29.82,-16.73,-20,x,,#DIV/0!,#DIV/0!,#DIV/0!,34.03,-0.52,-0.52,-0.52,-0.52,-0.52,x,#DIV/0!,#DIV/0!,98.91,88.26,61.96,32.39,0,0,#DIV/0!,x,,#DIV/0!,#DIV/0!,100,89.52,48.57,0,0,0,#DIV/0!,x,,#DIV/0!,#DIV/0!,96.81,62.77,10.64,0,0,0,#DIV/0!,x,#DIV/0!,96,84.1,28.5,14.6,2.6,-35.1,#DIV/0!,#DIV/0!,x,#DIV/0!,88.8,68.4,38.8,44.9,43.9,37.8,#DIV/0!,#DIV/0!,x,#DIV/0!,100,95.7,21.7,8.7,4.3,-4.3,#DIV/0!,#DIV/0!,x,#DIV/0!,100,87.5,23.61111111,5.555555556,-15.27777778,5.555555556,#DIV/0!,#DIV/0!
1.2,BA.2 Isolate 26729_2,PFU Ansatz 1,x,,,nd,nd,nd,6,27,48,>50,>50,>50,x,nd,nd,0,1,7,12,13,16,nd,x,nd,nd,0,0,7,18,26,28,31,x,nd,nd,6,18,29,25,29,29,33,x,,nd,nd,nd,2,7,18,27,42,57,x,nd,nd,nd,0,0,1,3,19,18,x,,nd,nd,nd,0,0,0,2,8,27,x,nd,nd,11,21,38,40,53,50,nd,x,nd,nd,nd,2,26,50,70,70,70,x,,,nd,nd,nd,5,17,29,47,62,85,x,nd,nd,0,2,3,8,32,41,50,x,,nd,nd,nd,5,23,31,32,32,32,x,nd,nd,21,49,62,210,230,230,nd,x,,nd,nd,11,55,52.5,52.5,52.5,52.5,nd,x,,nd,nd,nd,14,38,47,47,47,nd,x,nd,6,8,19,23,19,34,nd,nd,x,nd,11,29,39,42,41,32,nd,nd,x,nd,1,4,10,12,12,14,nd,nd,x,nd,7,20,36,37,42,40,nd,nd
,,PFU Ansatz 2,x,,,nd,nd,nd,10,28,45,>50,>50,>50,x,nd,nd,0,2,5,3,11,12,nd,x,nd,nd,0,1,9,12,23,22,28,x,nd,nd,1,16,11,30,26,27,35,x,,nd,nd,nd,3,7,13,26,43,56,x,nd,nd,nd,0,0,1,1,13,28,x,,nd,nd,nd,0,0,0,2,10,22,x,nd,nd,10,20,37,38,49,47,nd,x,nd,nd,nd,4,20,51,70,70,70,x,,,nd,nd,nd,3,16,40,65,57,92,x,nd,nd,0,2,5,18,26,40,46,x,,nd,nd,nd,7,20,31,32,32,32,x,nd,nd,12,65,119,210,230,230,nd,x,,nd,nd,nd,33,52.5,52.5,52.5,52.5,nd,x,,nd,nd,nd,11,25,47,47,47,nd,x,nd,2,7,16,23,15,13,nd,nd,x,nd,15,30,40,38,28,47,nd,nd,x,nd,1,6,7,14,16,12,nd,nd,x,nd,5,21,38,34,36,30,nd,nd
,,AVG,x,,,#DIV/0!,#DIV/0!,#DIV/0!,8,27.5,46.5,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,0,1.5,6,7.5,12,14,#DIV/0!,x,#DIV/0!,#DIV/0!,0,0.5,8,15,24.5,25,29.5,x,#DIV/0!,#DIV/0!,3.5,17,20,27.5,27.5,28,34,x,,#DIV/0!,#DIV/0!,#DIV/0!,2.5,7,15.5,26.5,42.5,56.5,x,#DIV/0!,#DIV/0!,#DIV/0!,0,0,1,2,16,23,x,,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,2,9,24.5,x,#DIV/0!,#DIV/0!,10.5,20.5,37.5,39,51,48.5,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,3,23,50.5,70,70,70,x,,,#DIV/0!,#DIV/0!,#DIV/0!,4,16.5,34.5,56,59.5,88.5,x,#DIV/0!,#DIV/0!,0,2,4,13,29,40.5,48,x,,#DIV/0!,#DIV/0!,#DIV/0!,6,21.5,31,32,32,32,x,#DIV/0!,#DIV/0!,16.5,57,90.5,210,230,230,#DIV/0!,x,,#DIV/0!,#DIV/0!,11,44,52.5,52.5,52.5,52.5,#DIV/0!,x,,#DIV/0!,#DIV/0!,#DIV/0!,12.5,31.5,47,47,47,#DIV/0!,x,#DIV/0!,4,7.5,17.5,23,17,23.5,#DIV/0!,#DIV/0!,x,#DIV/0!,13,29.5,39.5,40,34.5,39.5,#DIV/0!,#DIV/0!,x,#DIV/0!,1,5,8.5,13,14,13,#DIV/0!,#DIV/0!,x,#DIV/0!,6,20.5,37,35.5,39,35,#DIV/0!,#DIV/0!
,,Plaque reduction (%),x,,,#DIV/0!,#DIV/0!,#DIV/0!,85.77777778,51.11111111,17.33333333,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,100,92.85714286,71.42857143,64.28571429,42.85714286,33.33333333,#DIV/0!,x,#DIV/0!,#DIV/0!,100,98.81,80.95,64.29,41.67,40.48,29.76,x,#DIV/0!,#DIV/0!,85.31,28.67,16.08,-15.38,-15.38,-17.48,-42.66,x,,#DIV/0!,#DIV/0!,#DIV/0!,95.57522124,87.61061947,72.56637168,53.09734513,24.77876106,0,x,#DIV/0!,#DIV/0!,#DIV/0!,100,100,97.57575758,95.15151515,61.21212121,44.24242424,x,,#DIV/0!,#DIV/0!,#DIV/0!,100,100,100,96.92,86.12,62.21,x,#DIV/0!,#DIV/0!,80.09,61.14,28.91,26.07,3.32,8.06,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,95.71,67.14,27.86,0,0,0,x,,,#DIV/0!,#DIV/0!,#DIV/0!,96.42,85.25,69.15,49.93,46.8,20.86,x,#DIV/0!,#DIV/0!,100,95.64,91.27,71.64,36.73,11.64,-4.73,x,,#DIV/0!,#DIV/0!,#DIV/0!,81.15,32.46,2.62,-0.52,-0.52,-0.52,x,#DIV/0!,#DIV/0!,92.83,75.22,60.65,8.7,0,0,#DIV/0!,x,,#DIV/0!,#DIV/0!,79.05,16.19,0,0,0,0,#DIV/0!,x,,#DIV/0!,#DIV/0!,#DIV/0!,73.4,32.98,0,0,0,#DIV/0!,x,#DIV/0!,84.1,70.2,30.5,8.6,32.5,6.6,#DIV/0!,#DIV/0!,x,#DIV/0!,73.5,39.8,19.4,18.4,29.6,19.4,#DIV/0!,#DIV/0!,x,#DIV/0!,91.3,56.5,26.1,-13,-21.7,-13,#DIV/0!,#DIV/0!,x,#DIV/0!,83.33333333,43.05555556,-2.777777778,1.388888889,-8.333333333,2.777777778,#DIV/0!,#DIV/0!
1.3,BA.2 Isolate 26729_2,PFU Ansatz 1,x,,,nd,nd,nd,13,38,>50,>50,>50,>50,x,nd,nd,0,3,8,7,14,18,nd,x,nd,nd,0,0,6,9,19,23,38,x,nd,nd,6,16,30,23,32,36,32,x,,nd,nd,nd,0,5,7,23,43,53,x,nd,nd,nd,0,0,1,3,10,27,x,,nd,nd,nd,0,0,0,4,15,21,x,nd,nd,6,17,46,57,49,>50,nd,x,nd,nd,nd,2,9,22,63,70,70,x,,,nd,nd,nd,4,19,41,69,83,111,x,nd,nd,7,9,20,44,45,52,49,x,,nd,nd,nd,7,15,19,32,32,32,x,nd,nd,9,48,122,210,230,230,230,x,,nd,nd,14,35,52.5,52.5,52.5,52.5,nd,x,,nd,nd,0,2,10,9,30,39,nd,x,nd,2,4,10,15,23,17,nd,nd,x,nd,45,43,56,57,47,44,nd,nd,x,nd,1,6,6,13,13,14,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd
