,,,,,,,,,SARS-CoV-2_WT (984),,,,,,,,,,SARS-CoV-2_α (21528),,,,,,,,,,SARS-CoV-2_β (22131),,,,,,,,,,SARS-CoV-2_δ (25853_23),,,,,,,,,,,SARS-CoV-2_BA.1 (26335),,,,,,,,,,SARS-CoV-2_BA.2 (26729_12),,,,,,,,,,,SARS-CoV-2_BA.2 (26729_2),,,,,,,,,,rSARS-CoV-2_B.1+E484K,,,,,,,,,,SARS-CoV-2_BA.4,,,,,,,,,,,,SARS-CoV-2_BA.5,,,,,,,,,,SARS-CoV-2_Mu,,,,,,BQ.1.18,,,,,,,,,,,BF.7,,,,,,,,,,BN.1.3.1,,,,,,,,,,,XBB.2,,,,,,,,,,,EG.5.1 (V140),,,,,,,,,,BA.2.86 (V139),,,,,,,,,,JN.1 (V148),,,,,,,,,,JN.1 (V148)-2,,,,,,,,,
sample ID,Infektion Hamster,,Viruskontrolle (VK),Viruskontrolle 24.01.23,Viruskontrolle Dezember,1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),Viruskontrolle 24.01.23,1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),Viruskontrolle 24.01.23,1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),Viruskontrolle 24.01.23,Viruskontrolle Dezember,1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),,1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),Viruskontrolle (VK) 230331,1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),Viruskontrolle Dezember,1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle Dezember,1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle Dezember,1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle Dezember,1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle Dezember,1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120
,,PFU Ansatz 2,x,,,nd,nd,nd,13,37,>50,>50,>50,>50,x,nd,nd,0,2,5,20,20,14,nd,x,nd,nd,0,0,4,20,20,30,16,x,nd,nd,6,12,26,21,25,23,32,x,,nd,nd,nd,0,3,11,14,44,58,x,nd,nd,nd,0,0,0,1,9,26,x,,nd,nd,nd,0,0,0,3,14,28,x,nd,nd,6,22,30,45,51,>50,nd,x,nd,nd,nd,0,9,29,63,70,70,x,,,nd,nd,nd,0,18,42,57,90,100,x,nd,nd,2,12,25,44,52,19,58,x,,nd,nd,nd,5,21,19,32,32,32,x,nd,nd,9,42,118,210,230,230,230,x,,nd,nd,15,31,52.5,52.5,52.5,52.5,nd,x,,nd,nd,0,3,8,18,24,34,nd,x,nd,2,4,7,11,17,20,nd,nd,x,nd,53,57,52,45,57,31,nd,nd,x,nd,2,4,6,8,4,10,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd
,,AVG,x,,,#DIV/0!,#DIV/0!,#DIV/0!,13,37.5,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,0,2.5,6.5,13.5,17,16,#DIV/0!,x,#DIV/0!,#DIV/0!,0,0,5,14.5,19.5,26.5,27,x,#DIV/0!,#DIV/0!,6,14,28,22,28.5,29.5,32,x,,#DIV/0!,#DIV/0!,#DIV/0!,0,4,9,18.5,43.5,55.5,x,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0.5,2,9.5,26.5,x,,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,3.5,14.5,24.5,x,#DIV/0!,#DIV/0!,6,19.5,38,51,50,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,1,9,25.5,63,70,70,x,,,#DIV/0!,#DIV/0!,#DIV/0!,2,18.5,41.5,63,86.5,105.5,x,#DIV/0!,#DIV/0!,4.5,10.5,22.5,44,48.5,35.5,53.5,x,,#DIV/0!,#DIV/0!,#DIV/0!,6,18,19,32,32,32,x,#DIV/0!,#DIV/0!,9,45,120,210,230,230,230,x,,#DIV/0!,#DIV/0!,14.5,33,52.5,52.5,52.5,52.5,#DIV/0!,x,,#DIV/0!,#DIV/0!,0,2.5,9,13.5,27,36.5,#DIV/0!,x,#DIV/0!,2,4,8.5,13,20,18.5,#DIV/0!,#DIV/0!,x,#DIV/0!,49,50,54,51,52,37.5,#DIV/0!,#DIV/0!,x,#DIV/0!,1.5,5,6,10.5,8.5,12,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,Plaque reduction (%),x,,,#DIV/0!,#DIV/0!,#DIV/0!,76.88888889,33.33333333,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,100,88.0952381,69.04761905,35.71428571,19.04761905,23.80952381,#DIV/0!,x,#DIV/0!,#DIV/0!,100,100,88.1,65.48,53.57,36.9,35.71,x,#DIV/0!,#DIV/0!,74.83,41.26,-17.48,7.69,-19.58,-23.78,-34.27,x,,#DIV/0!,#DIV/0!,#DIV/0!,100,92.92035398,84.07079646,67.25663717,23.00884956,1.769911504,x,#DIV/0!,#DIV/0!,#DIV/0!,100,100,98.78787879,95.15151515,76.96969697,35.75757576,x,,#DIV/0!,#DIV/0!,#DIV/0!,100,100,100,94.6,77.63,62.21,x,#DIV/0!,#DIV/0!,88.63,63.03,27.96,3.32,5.21,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,98.57,87.14,63.57,10,0,0,x,,,#DIV/0!,#DIV/0!,#DIV/0!,98.21,83.46,62.89,43.67,22.65,5.66,x,#DIV/0!,#DIV/0!,90.18,77.09,50.91,4,-5.82,22.55,-16.73,x,,#DIV/0!,#DIV/0!,#DIV/0!,81.15,43.46,40.31,-0.52,-0.52,-0.52,x,#DIV/0!,#DIV/0!,96.09,80.43,47.83,8.7,0,0,0,x,,#DIV/0!,#DIV/0!,72.38,37.14,0,0,0,0,#DIV/0!,x,,#DIV/0!,#DIV/0!,100,94.68,80.85,71.28,42.55,22.34,#DIV/0!,x,#DIV/0!,92.1,84.1,66.2,48.3,20.5,26.5,#DIV/0!,#DIV/0!,x,#DIV/0!,0,-2,-10.2,-4.1,-6.1,23.5,#DIV/0!,#DIV/0!,x,#DIV/0!,86.95652174,56.5,47.8,8.7,26.1,-4.3,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
2.1,Alpha (21528),PFU Ansatz 1,x,,,nd,nd,nd,0,0,1,12,24,44,x,nd,nd,nd,0,0,0,0,1,4,x,nd,nd,nd,0,1,10,19,17,36,x,nd,nd,nd,0,0,11,8,17,24,x,,nd,nd,nd,12,24,43,>50,>50,>50,x,nd,nd,nd,8,26,24,48,40,46,x,,nd,nd,nd,14,26,38,42,49,61,x,nd,nd,nd,0,13,28,41,43,44,x,0,6,45,70,70,70,70,70,70,x,,,0,7,58,112,111,111,111,111,111,x,0,0,0,0,0,3,10,19,35,x,,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd
,,PFU Ansatz 2,x,,,nd,nd,nd,0,0,3,11,25,51,x,nd,nd,nd,0,0,0,0,0,7,x,nd,nd,nd,0,1,1,8,26,28,x,nd,nd,nd,0,0,3,8,15,22,x,,nd,nd,nd,13,27,49,>50,>50,>50,x,nd,nd,nd,5,28,35,31,50,47,x,,nd,nd,nd,23,32,51,41,55,57,x,nd,nd,nd,1,4,25,40,37,46,x,0,5,37,70,70,70,70,70,70,x,,,2,10,51,103,111,111,111,111,111,x,0,0,0,0,0,3,12,20,38,x,,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd
,,AVG,x,,,#DIV/0!,#DIV/0!,#DIV/0!,0,0,2,11.5,24.5,47.5,x,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0.5,5.5,x,#DIV/0!,#DIV/0!,#DIV/0!,0,1,5.5,13.5,21.5,32,x,#DIV/0!,#DIV/0!,#DIV/0!,0,0,7,8,16,23,x,,#DIV/0!,#DIV/0!,#DIV/0!,12.5,25.5,46,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,6.5,27,29.5,39.5,45,46.5,x,,#DIV/0!,#DIV/0!,#DIV/0!,18.5,29,44.5,41.5,52,59,x,#DIV/0!,#DIV/0!,#DIV/0!,0.5,8.5,26.5,40.5,40,45,x,0,5.5,41,70,70,70,70,70,70,x,,,1,8.5,54.5,107.5,111,111,111,111,111,x,0,0,0,0,0,3,11,19.5,36.5,x,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,Plaque reduction (%),x,,,#DIV/0!,#DIV/0!,#DIV/0!,100,100,96.44444444,79.55555556,56.44444444,15.55555556,x,#DIV/0!,#DIV/0!,#DIV/0!,100,100,100,100,97.61904762,73.80952381,x,#DIV/0!,#DIV/0!,#DIV/0!,100,97.62,86.9,67.86,48.81,23.81,x,#DIV/0!,#DIV/0!,#DIV/0!,100,100,70.63,66.43,32.87,3.5,x,,#DIV/0!,#DIV/0!,#DIV/0!,77.87610619,54.86725664,18.5840708,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,84.24242424,34.54545455,28.48484848,4.242424242,-9.090909091,-12.72727273,x,,#DIV/0!,#DIV/0!,#DIV/0!,71.47,55.27,31.36,35.99,19.79,9,x,#DIV/0!,#DIV/0!,#DIV/0!,99.05,83.89,49.76,23.22,24.17,14.69,x,100,92.14,41.43,0,0,0,0,0,0,x,,,99.11,92.4,51.27,3.87,0.75,0.75,0.75,0.75,0.75,x,100,100,100,100,100,93.45,76,57.45,20.36,x,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
2.2,Alpha (21528),PFU Ansatz 1,x,,,nd,nd,nd,0,0,0,7,14,26,x,nd,nd,nd,0,0,0,0,0,3,x,nd,nd,nd,0,0,1,3,10,22,x,nd,nd,nd,0,0,3,4,7,21,x,,nd,nd,nd,0,5,13,35,46,49,x,nd,nd,nd,0,5,1,25,35,45,x,,nd,nd,nd,0,3,5,21,36,37,x,nd,nd,nd,1,0,15,24,34,47,x,nd,nd,0,1,19,27,53,72,70,x,,,nd,nd,1,5,19,44,85,102,104,x,nd,nd,0,0,0,0,1,8,29,x,,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd
,,PFU Ansatz 2,x,,,nd,nd,nd,0,0,0,1,15,32,x,nd,nd,nd,0,0,0,0,0,1,x,nd,nd,nd,0,0,3,6,7,21,x,nd,nd,nd,0,0,0,5,15,23,x,,nd,nd,nd,0,7,11,36,49,>50,x,nd,nd,nd,0,3,3,18,26,36,x,,nd,nd,nd,0,2,8,4,30,29,x,nd,nd,nd,0,2,5,27,21,37,x,nd,nd,0,2,15,25,42,62,70,x,,,nd,nd,2,5,20,25,82,105,102,x,nd,nd,0,0,0,0,2,14,26,x,,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd
,,AVG,x,,,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,4,14.5,29,x,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,2,x,#DIV/0!,#DIV/0!,#DIV/0!,0,0,2,4.5,8.5,21.5,x,#DIV/0!,#DIV/0!,#DIV/0!,0,0,1.5,4.5,11,22,x,,#DIV/0!,#DIV/0!,#DIV/0!,0,6,12,35.5,47.5,49,x,#DIV/0!,#DIV/0!,#DIV/0!,0,4,2,21.5,30.5,40.5,x,,#DIV/0!,#DIV/0!,#DIV/0!,0,2.5,6.5,12.5,33,33,x,#DIV/0!,#DIV/0!,#DIV/0!,0.5,1,10,25.5,27.5,42,x,#DIV/0!,#DIV/0!,0,1.5,17,26,47.5,67,70,x,,,#DIV/0!,#DIV/0!,1.5,5,19.5,34.5,83.5,103.5,103,x,#DIV/0!,#DIV/0!,0,0,0,0,1.5,11,27.5,x,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,Plaque reduction (%),x,,,#DIV/0!,#DIV/0!,#DIV/0!,100,100,100,92.88888889,74.22222222,48.44444444,x,#DIV/0!,#DIV/0!,#DIV/0!,100,100,100,100,100,90.47619048,x,#DIV/0!,#DIV/0!,#DIV/0!,100,100,95.24,89.29,79.76,48.81,x,#DIV/0!,#DIV/0!,#DIV/0!,100,100,93.71,81.12,53.85,7.69,x,,#DIV/0!,#DIV/0!,#DIV/0!,100,89.38053097,78.76106195,37.16814159,15.92920354,13.27433628,x,#DIV/0!,#DIV/0!,#DIV/0!,100,90.3030303,95.15151515,47.87878788,26.06060606,1.818181818,x,,#DIV/0!,#DIV/0!,#DIV/0!,100,96.14,89.97,80.72,49.1,49.1,x,#DIV/0!,#DIV/0!,#DIV/0!,99.05,98.1,81.04,51.66,47.87,20.38,x,#DIV/0!,#DIV/0!,100,97.86,75.71,62.86,32.14,4.29,0,x,,,#DIV/0!,#DIV/0!,98.66,95.53,82.56,69.15,25.34,7.45,7.9,x,#DIV/0!,#DIV/0!,100,100,100,100,96.73,76,40,x,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
3.1,Beta (22131),PFU Ansatz 1,x,,,nd,nd,nd,0,1,22,50,>50,>50,x,nd,nd,nd,0,0,1,10,9,11,x,nd,nd,nd,0,0,0,0,4,25,x,nd,nd,nd,0,4,14,28,31,31,x,,nd,nd,nd,6,19,32,58,>50,>50,x,nd,nd,nd,2,5,17,31,36,30,x,,nd,nd,nd,0,8,20,32,44,57,x,nd,nd,nd,0,3,17,28,40,43,x,nd,0,0,3,14,26,41,50,70,x,,,nd,0,1,7,22,64,87,111,111,x,nd,0,0,0,0,6,5,14,30,x,,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd
,,PFU Ansatz 2,x,,,nd,nd,nd,0,4,16,43,>50,>50,x,nd,nd,nd,0,0,3,3,7,14,x,nd,nd,nd,0,0,0,3,7,18,x,nd,nd,nd,2,8,18,29,36,31,x,,nd,nd,nd,6,21,38,>50,>50,>50,x,nd,nd,nd,0,9,20,30,43,55,x,,nd,nd,nd,0,8,13,33,40,50,x,nd,nd,nd,0,3,17,31,41,39,x,nd,0,0,2,7,31,58,68,70,x,,,nd,0,0,4,28,57,78,111,111,x,nd,0,0,0,1,0,15,20,31,x,,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd
,,AVG,x,,,#DIV/0!,#DIV/0!,#DIV/0!,0,2.5,19,46.5,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,0,0,2,6.5,8,12.5,x,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,1.5,5.5,21.5,x,#DIV/0!,#DIV/0!,#DIV/0!,1,6,16,28.5,33.5,31,x,,#DIV/0!,#DIV/0!,#DIV/0!,6,20,35,58,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,1,7,18.5,30.5,39.5,42.5,x,,#DIV/0!,#DIV/0!,#DIV/0!,0,8,16.5,32.5,42,53.5,x,#DIV/0!,#DIV/0!,#DIV/0!,0,3,17,29.5,40.5,41,x,#DIV/0!,0,0,2.5,10.5,28.5,49.5,59,70,x,,,#DIV/0!,0,0.5,5.5,25,60.5,82.5,111,111,x,#DIV/0!,0,0,0,0.5,3,10,17,30.5,x,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,Plaque reduction (%),x,,,#DIV/0!,#DIV/0!,#DIV/0!,100,95.55555556,66.22222222,17.33333333,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,100,100,90.47619048,69.04761905,61.9047619,40.47619048,x,#DIV/0!,#DIV/0!,#DIV/0!,100,100,100,96.43,86.9,48.81,x,#DIV/0!,#DIV/0!,#DIV/0!,95.8,74.83,32.87,-19.58,-40.56,-30.07,x,,#DIV/0!,#DIV/0!,#DIV/0!,89.38053097,64.60176991,38.05309735,-2.654867257,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,97.57575758,83.03030303,55.15151515,26.06060606,4.242424242,-3.03030303,x,,#DIV/0!,#DIV/0!,#DIV/0!,100,87.66,74.55,49.87,35.22,17.48,x,#DIV/0!,#DIV/0!,#DIV/0!,100,94.31,67.77,44.08,23.22,22.27,x,#DIV/0!,100,100,96.43,85,59.29,29.29,15.71,0,x,,,#DIV/0!,100,99.55,95.08,77.65,45.9,26.23,0.75,0.75,x,#DIV/0!,100,100,100,98.91,93.45,78.18,62.91,33.45,x,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
