serum,virus,prnt,prntOrig
4.1,SARS-CoV-2_Alpha (21528),5120,nan
7.1,SARS-CoV-2_Alpha (21528),5032.42,nan
6.2,SARS-CoV-2_BA.2 (26729_2),5330.82,nan
4.3,SARS-CoV-2_Delta (25853_23),5120,nan
7.1,SARS-CoV-2_WT (984),5442.78,nan
7.1,SARS-CoV-2_Mu,>5120,6304.85
