virus,1.1,1.2,1.3,12SE0030,12SE0031,12SE0032,2.1,2.2,3.1,3.2,3.3,4.1,4.2,4.3,5.1,5.2,5.3,6.1,6.2,6.3,7.1,7.2,7.3,8.1,8.2,8.3,9.1,9.2,9.3
BF.7,252.81,201.80,193.42,*,*,*,*,*,*,*,*,*,*,*,178.84,<80,<80,*,*,*,*,*,*,46.87,<40,<40,2972.43,1346.84,4933.73
BN.1.3.1,159.34,57.04,54.12,*,*,*,*,*,*,*,*,*,*,*,175.88,<54,<54,*,*,*,*,*,*,<40,<40,48.45,163.43,59.20,129.56
BQ.1.18,<160,180.93,176.81,*,*,*,*,*,*,*,*,*,*,*,<80,<80,<80,*,*,*,*,*,*,<40,<40,<40,2230.75,992.34,4712.66
EG.5.1 (V140),89.43,53.68,112.91,430.19,1003.44,789.10,*,*,*,*,*,*,*,*,320.44,<40,<40,*,*,*,*,*,*,*,*,*,618.03,270.84,330.57
JN.1 (V148),96.34,51.16,53.78,193.41,566.93,469.82,*,*,*,*,*,*,*,*,107.78,<40,110.73,*,*,*,*,*,*,*,*,*,285.20,105.25,<40
SARS-CoV-2_Alpha (21528),122.74,379.18,250.00,*,*,*,5038.01,>5120,1395.39,2618.77,2033.00,>5120,3790.15,3248.99,<40,235.11,267.59,305.42,224.48,498.45,>5120,2140.89,>5120,3407.11,1066.26,>5120,*,*,*
SARS-CoV-2_BA.1 (26335),948.51,639.66,999.05,*,*,*,195.12,634.48,271.46,226.63,291.51,985.01,985.01,589.33,2847.22,3344.52,2249.84,>5120,1274.21,1761.56,1603.43,1429.32,1320.25,260.88,<160,399.68,<160,<160,<160
SARS-CoV-2_BA.2 (26729_12),1994.69,2165.44,2665.07,*,*,*,171.50,869.53,423.08,283.11,411.70,1285.75,680.03,1873.99,691.60,450.52,480.86,>5120,>5120,2062.88,4478.62,1173.68,2881.30,1222.61,<160,414.78,*,*,*
SARS-CoV-2_BA.2 (26729_2),3145.02,3779.15,3293.57,*,*,*,<160,1419.75,622.58,450.13,519.54,1525.23,820.79,1313.56,823.20,508.65,595.29,>5120,>5120,2094.01,3074.18,1295.75,2323.61,1131.64,<160,467.26,238.92,252.64,280.22
SARS-CoV-2_BA.4,337.87,288.16,522.30,*,*,*,57.39,429.57,440.98,87.36,140.25,888.89,298.63,637.21,326.29,<160,<160,851.97,>5120,204.35,1029.92,403.13,345.55,490.25,<20,108.59,*,*,*
SARS-CoV-2_BA.5,380.15,550.39,477.41,438.14,372.33,239.66,61.16,488.49,350.75,77.13,263.53,856.10,252.97,655.61,493.45,<160,<160,1190.15,>5120,247.65,926.03,476.68,290.11,777.71,<20,141.59,1709.92,1053.57,3091.70
SARS-CoV-2_Beta (22131),118.01,451.30,564.89,*,*,*,1105.86,2717.58,3372.85,2650.18,3002.23,4128.40,1206.95,1995.57,29.93,284.86,179.85,893.83,354.07,595.66,4560.50,3933.51,4511.32,2479.74,398.35,2704.81,*,*,*
SARS-CoV-2_Delta (25853_23),36.27,92.43,89.97,*,*,*,850.82,1642.02,343.04,307.42,387.85,5202.19,4456.55,>5120,20.82,164.74,86.55,80.33,<40,54.58,3886.86,1825.60,2259.09,1857.74,685.59,1919.04,*,*,*
SARS-CoV-2_Mu,85.04,593.88,184.21,*,*,*,1501.04,2702.93,1641.62,959.39,1328.99,2387.15,614.46,1646.74,<80,126.25,89.08,849.94,391.79,1275.06,>5120,3038.08,5606.46,2237.48,134.04,902.47,*,*,*
SARS-CoV-2_WT (984),<160,211.49,170.58,<80,<80,<80,1628.74,2651.76,565.67,715.21,724.30,3335.65,1409.33,1923.37,<160,<160,<160,195.84,<160,226.11,>5120,2103.20,4338.33,2511.41,1260.82,2482.11,<40,<40,<40
XBB.2,93.36,108.26,338.33,2242.22,3256.63,1580.18,*,*,*,*,*,*,*,*,228.43,<54,<54,*,*,*,*,*,*,<32,<32,<32,465.02,311.28,988.56
rSARS-CoV-2_B.1+E484K,<80,93.41,124.92,*,*,*,363.56,812.61,561.07,604.73,583.43,2914.36,690.69,1011.11,<40,130.18,89.24,387.84,91.21,165.00,4962.85,2996.78,3633.16,1310.96,416.63,2089.03,*,*,*
