virus,1.1,1.2,1.3,12SE0030,12SE0031,12SE0032,2.1,2.2,3.1,3.2,3.3,4.1,4.2,4.3,5.1,5.2,5.3,6.1,6.2,6.3,7.1,7.2,7.3,8.1,8.2,8.3,9.1,9.2,9.3
BF.7,154.94,126.28,126.78,*,*,*,*,*,*,*,*,*,*,*,96.18,<80,<80,*,*,*,*,*,*,<40,<40,<40,1647.68,855.16,3440.79
BN.1.3.1,121.51,<54,<54,*,*,*,*,*,*,*,*,*,*,*,114.55,<54,<54,*,*,*,*,*,*,<40,<40,37.21,126.38,<54,86.47
BQ.1.18,<160,<160,<160,*,*,*,*,*,*,*,*,*,*,*,<80,<80,<80,*,*,*,*,*,*,<40,<40,<40,1266.42,656.34,3539.07
EG.5.1 (V140),63.02,<40,42.89,287.94,578.09,425.65,*,*,*,*,*,*,*,*,168.49,<40,<40,*,*,*,*,*,*,*,*,*,309.90,159.98,218.54
JN.1 (V148),75.18,<40,<40,137.22,240.92,286.50,*,*,*,*,*,*,*,*,70.34,<40,84.08,*,*,*,*,*,*,*,*,*,154.50,70.53,<40
SARS-CoV-2_Alpha (21528),<80,131.69,118.17,*,*,*,3795.00,5142.59,546.64,1341.52,968.83,5032.42,1823.49,1622.41,<40,164.89,94.19,<80,<80,242.12,5032.42,1315.80,4540.72,1748.13,440.32,2496.05,*,*,*
SARS-CoV-2_BA.1 (26335),476.02,330.24,628.18,*,*,*,<160,374.68,165.94,<160,196.81,425.50,425.50,325.74,1515.43,1651.11,1085.59,2391.14,481.54,788.92,873.19,656.32,716.91,<160,<160,220.37,<160,<160,<160
SARS-CoV-2_BA.2 (26729_12),1091.21,1144.47,1740.22,*,*,*,<160,540.72,249.22,183.50,278.39,734.25,382.95,1145.99,326.59,203.53,238.12,3456.44,4791.08,1099.79,2859.64,480.20,1445.54,288.03,<160,257.72,*,*,*
SARS-CoV-2_BA.2 (26729_2),1828.25,2182.32,1579.29,*,*,*,<160,528.43,266.31,191.66,204.30,587.12,353.27,470.49,334.36,<160,220.56,5113.91,5330.82,991.69,1882.27,579.78,1112.49,593.19,<160,206.32,<160,<160,188.25
SARS-CoV-2_BA.4,237.33,193.45,375.74,*,*,*,44.82,235.65,240.03,61.74,79.34,558.10,197.39,236.79,196.80,<160,<160,491.99,3178.47,<160,617.77,181.72,271.50,261.78,<20,67.38,*,*,*
SARS-CoV-2_BA.5,206.00,187.39,224.46,239.11,178.47,109.34,46.56,286.85,197.42,43.51,122.11,394.24,160.97,249.55,288.07,<160,<160,548.69,3994.23,<160,366.21,196.15,199.87,308.36,<20,61.54,1246.40,644.24,2059.65
SARS-CoV-2_Beta (22131),<80,143.30,182.17,*,*,*,521.83,1445.50,2257.47,1481.80,1824.34,2302.46,575.18,928.50,<20,139.53,88.83,352.04,130.62,254.72,2720.50,1951.23,2093.93,1311.52,124.15,1463.48,*,*,*
SARS-CoV-2_Delta (25853_23),27.45,<80,<80,*,*,*,454.78,1075.08,251.39,204.94,221.13,4816.92,3570.23,5710.96,<20,105.22,63.47,76.96,<40,44.30,2895.08,919.00,1116.47,1054.76,455.56,1387.68,*,*,*
SARS-CoV-2_Mu,<80,360.26,117.91,*,*,*,830.96,1706.51,800.94,509.46,542.82,1823.20,278.56,1191.10,<80,90.01,<80,513.07,238.37,820.79,>5120,2034.42,5219.46,1307.72,48.16,551.09,*,*,*
SARS-CoV-2_WT (984),<160,<160,<160,<80,<80,<80,995.59,1448.28,406.27,437.48,524.66,1882.43,751.04,1041.19,<160,<160,<160,<160,<160,<160,5442.78,1101.45,2934.06,1638.78,770.18,1509.23,<40,<40,<40
XBB.2,70.41,<107,157.62,1235.74,1772.52,950.66,*,*,*,*,*,*,*,*,189.46,<54,<54,*,*,*,*,*,*,<32,<32,<32,330.94,222.70,663.09
rSARS-CoV-2_B.1+E484K,<80,<80,<80,*,*,*,175.14,350.85,259.45,217.63,211.76,1340.83,253.55,487.69,<40,76.53,53.34,116.70,<80,88.54,2635.04,1333.78,2278.45,613.52,172.59,1478.85,*,*,*
