virus,1.1,1.2,1.3,12SE0030,12SE0031,12SE0032,2.1,2.2,3.1,3.2,3.3,4.1,4.2,4.3,5.1,5.2,5.3,6.1,6.2,6.3,7.1,7.2,7.3,8.1,8.2,8.3,9.1,9.2,9.3
BF.7,320,320,320,*,*,*,*,*,*,*,*,*,*,*,320,<80,<80,*,*,*,*,*,*,80,<40,40,5120,2560,>5120
BN.1.3.1,216,54,108,*,*,*,*,*,*,*,*,*,*,*,216,<54,<54,*,*,*,*,*,*,<40,<40,65,216,108,216
BQ.1.18,<160,320,320,*,*,*,*,*,*,*,*,*,*,*,<80,<80,<80,*,*,*,*,*,*,<40,<40,<40,5120,1280,>5120
EG.5.1 (V140),160,160,320,640,1280,1280,*,*,*,*,*,*,*,*,640,<40,40,*,*,*,*,*,*,*,*,*,1280,640,640
JN.1 (V148),160,80,160,320,1280,640,*,*,*,*,*,*,*,*,160,<40,160,*,*,*,*,*,*,*,*,*,640,160,<40
SARS-CoV-2_Alpha (21528),160,1280,640,*,*,*,>5120,>5120,5120,5120,5120,>5120,>5120,>5120,160,320,640,320,640,1280,>5120,2560,>5120,>5120,2560,>5120,*,*,*
SARS-CoV-2_BA.1 (26335),2560,1280,1280,*,*,*,320,1280,640,320,320,2560,2560,1280,5120,>5120,5120,>5120,2560,5120,2560,2560,2560,1280,<160,640,<160,<160,<160
SARS-CoV-2_BA.2 (26729_12),2560,5120,5120,*,*,*,320,1280,640,320,640,2560,1280,2560,1280,1280,1280,>5120,>5120,5120,>5120,2560,5120,>5120,<160,640,*,*,*
SARS-CoV-2_BA.2 (26729_2),5120,>5120,>5120,*,*,*,320,2560,1280,1280,1280,5120,1280,5120,2560,2560,2560,>5120,>5120,5120,5120,2560,5120,2560,<160,1280,320,320,320
SARS-CoV-2_BA.4,640,320,640,*,*,*,80,640,640,160,320,1280,640,1280,640,<160,<160,1280,>5120,320,1280,640,320,1280,<20,160,*,*,*
SARS-CoV-2_BA.5,640,1280,1280,640,640,320,80,640,640,160,640,1280,320,1280,1280,<160,<160,2560,>5120,640,2560,1280,320,2560,<20,320,2560,1280,5120
SARS-CoV-2_Beta (22131),320,1280,1280,*,*,*,2560,5120,5120,5120,5120,>5120,2560,5120,40,640,320,2560,1280,1280,>5120,>5120,>5120,5120,1280,5120,*,*,*
SARS-CoV-2_Delta (25853_23),40,160,160,*,*,*,1280,2560,640,640,640,>5120,>5120,>5120,40,320,160,80,<40,80,5120,2560,5120,2560,1280,2560,*,*,*
SARS-CoV-2_Mu,160,1280,320,*,*,*,2560,5120,2560,1280,2560,2560,1280,2560,<80,160,160,1280,640,2560,>5120,5120,>5120,5120,320,1280,*,*,*
SARS-CoV-2_WT (984),<160,320,320,<80,<80,<80,2560,5120,640,1280,1280,>5120,2560,2560,<160,<160,<160,320,160,320,>5120,5120,>5120,5120,2560,5120,<40,<40,<40
XBB.2,108,216,864,5120,>5120,2560,*,*,*,*,*,*,*,*,216,<54,54,*,*,*,*,*,*,<32,<32,<32,864,432,1728
rSARS-CoV-2_B.1+E484K,80,160,160,*,*,*,640,1280,1280,1280,1280,>5120,1280,2560,40,160,160,1280,320,320,>5120,>5120,>5120,2560,640,2560,*,*,*
