virus,1.1,1.2,1.3,12SE0030,12SE0031,12SE0032,2.1,2.2,3.1,3.2,3.3,4.1,4.2,4.3,5.1,5.2,5.3,6.1,6.2,6.3,7.1,7.2,7.3,8.1,8.2,8.3,9.1,9.2,9.3
BF.7,<80,<80,<80,*,*,*,*,*,*,*,*,*,*,*,<80,<80,<80,*,*,*,*,*,*,<40,<40,<40,454.56,317.31,1566.87
BN.1.3.1,67.25,<54,<54,*,*,*,*,*,*,*,*,*,*,*,<54,<54,<54,*,*,*,*,*,*,<40,<40,<32,72.11,<54,<54
BQ.1.18,<160,<160,<160,*,*,*,*,*,*,*,*,*,*,*,<80,<80,<80,*,*,*,*,*,*,<40,<40,<40,368.06,266.24,1894.16
EG.5.1 (V140),<40,<40,<40,<160,173.49,<160,*,*,*,*,*,*,*,*,41.43,<40,<40,*,*,*,*,*,*,*,*,*,<80,<80,88.55
JN.1 (V148),43.76,<40,<40,64.88,<40,97.33,*,*,*,*,*,*,*,*,<40,<40,46.09,*,*,*,*,*,*,*,*,*,40.54,<40,<40
SARS-CoV-2_Alpha (21528),<80,<80,<80,*,*,*,2044.76,4230.03,<160,311.56,192.16,711.36,369.28,356.37,<40,76.01,<40,<80,<80,<80,711.36,454.74,1158.70,407.39,<160,346.98,*,*,*
SARS-CoV-2_BA.1 (26335),<160,<160,228.17,*,*,*,<160,<160,<160,<160,<160,<160,<160,<160,382.60,353.72,221.25,<160,<160,<160,231.74,<160,189.08,<160,<160,<160,<160,<160,<160
SARS-CoV-2_BA.2 (26729_12),292.50,284.54,686.41,*,*,*,<160,191.71,<160,<160,<160,216.16,<160,391.73,<160,<160,<160,1026.49,2282.92,278.67,1074.12,<160,320.77,<160,<160,<160,*,*,*
SARS-CoV-2_BA.2 (26729_2),559.54,658.27,317.50,*,*,*,<160,<160,<160,<160,<160,<160,<160,<160,<160,<160,<160,2228.81,1528.37,194.04,645.17,<160,222.91,<160,<160,<160,<160,<160,<160
SARS-CoV-2_BA.4,<160,<160,183.11,*,*,*,26.13,<80,63.64,<40,<40,202.08,<160,<160,<160,<160,<160,<160,695.70,<160,202.45,<80,160.39,66.56,<20,<40,*,*,*
SARS-CoV-2_BA.5,<160,<160,<160,<80,<80,<80,25.68,89.75,56.31,<40,<40,<160,<160,<160,<160,<160,<160,<160,1028.71,<160,<80,<80,88.63,40.94,<20,<40,625.09,220.19,848.72
SARS-CoV-2_Beta (22131),<80,<80,<80,*,*,*,<160,364.43,939.77,416.58,615.06,643.71,<160,174.79,<20,29.38,<20,<80,<80,<80,880.92,422.43,392.09,326.58,<80,382.97,*,*,*
SARS-CoV-2_Delta (25853_23),<20,<80,<80,*,*,*,<160,426.55,<160,<160,<160,4072.22,2200.38,1175.69,<20,<40,<40,70.08,<40,<40,1521.99,205.44,239.75,306.61,186.67,683.89,*,*,*
SARS-CoV-2_Mu,<80,121.00,<80,*,*,*,228.58,625.42,167.24,127.97,76.89,1012.43,<80,587.35,<80,<80,<80,170.50,80.58,313.83,5086.00,847.83,4465.03,404.97,<20,187.79,*,*,*
SARS-CoV-2_WT (984),<160,<160,<160,<80,<80,<80,340.01,386.82,197.28,<160,259.55,540.02,190.12,272.76,<160,<160,<160,<160,<160,<160,1672.87,268.42,1249.50,645.45,262.65,509.52,<40,<40,<40
XBB.2,<54,<107,<54,336.64,469.87,313.59,*,*,*,*,*,*,*,*,125.95,<54,<54,*,*,*,*,*,*,<32,<32,<32,157.52,107.22,277.35
rSARS-CoV-2_B.1+E484K,<80,<80,<80,*,*,*,<160,<160,<160,<160,<160,246.29,<160,<160,<40,<40,<40,<80,<80,<80,661.73,227.89,822.87,<160,<160,695.79,*,*,*
