virus,1.1,1.2,1.3,12SE0030,12SE0031,12SE0032,2.1,2.2,3.1,3.2,3.3,4.1,4.2,4.3,5.1,5.2,5.3,6.1,6.2,6.3,7.1,7.2,7.3,8.1,8.2,8.3,9.1,9.2,9.3
BF.7,80,<80,80,*,*,*,*,*,*,*,*,*,*,*,<80,<80,<80,*,*,*,*,*,*,<40,<40,<40,640,320,1280
BN.1.3.1,54,<54,<54,*,*,*,*,*,*,*,*,*,*,*,54,<54,<54,*,*,*,*,*,*,<40,<40,<32,54,<54,54
BQ.1.18,<160,<160,<160,*,*,*,*,*,*,*,*,*,*,*,<80,<80,<80,*,*,*,*,*,*,<40,<40,<40,640,160,1280
EG.5.1 (V140),40,<40,<40,160,320,160,*,*,*,*,*,*,*,*,80,<40,<40,*,*,*,*,*,*,*,*,*,80,80,80
JN.1 (V148),40,<40,<40,40,80,40,*,*,*,*,*,*,*,*,40,<40,40,*,*,*,*,*,*,*,*,*,40,<40,<40
SARS-CoV-2_Alpha (21528),<80,80,80,*,*,*,1280,2560,320,640,640,1280,320,1280,<40,40,40,80,80,80,1280,640,1280,640,320,1280,*,*,*
SARS-CoV-2_BA.1 (26335),160,160,160,*,*,*,<160,160,<160,<160,<160,160,160,<160,640,640,640,320,160,160,320,320,160,<160,<160,160,<160,<160,<160
SARS-CoV-2_BA.2 (26729_12),640,320,640,*,*,*,<160,160,160,160,160,320,160,160,160,160,160,1280,1280,640,1280,320,640,160,<160,160,*,*,*
SARS-CoV-2_BA.2 (26729_2),640,640,640,*,*,*,<160,160,160,160,160,320,160,160,160,160,160,2560,1280,320,640,160,640,160,<160,160,<160,<160,<160
SARS-CoV-2_BA.4,160,160,160,*,*,*,20,80,80,40,40,320,<160,160,<160,<160,<160,160,640,<160,160,80,80,80,<20,40,*,*,*
SARS-CoV-2_BA.5,<160,160,160,80,80,80,20,80,80,40,40,320,160,160,<160,<160,<160,160,640,<160,80,80,80,80,<20,40,320,320,1280
SARS-CoV-2_Beta (22131),<80,160,160,*,*,*,160,320,640,640,1280,640,320,320,<20,80,40,320,80,160,1280,1280,640,640,80,640,*,*,*
SARS-CoV-2_Delta (25853_23),<20,<80,<80,*,*,*,320,320,160,160,<160,2560,1280,1280,<20,40,40,40,<40,<40,640,640,640,320,160,320,*,*,*
SARS-CoV-2_Mu,<80,80,<80,*,*,*,320,640,320,160,320,640,160,320,<80,<80,<80,160,80,160,5120,1280,2560,320,40,80,*,*,*
SARS-CoV-2_WT (984),<160,<160,<160,<80,<80,<80,320,640,160,320,160,640,320,640,<160,<160,<160,<160,<160,<160,1280,640,1280,640,320,320,<40,<40,<40
XBB.2,54,<108,54,1280,640,640,*,*,*,*,*,*,*,*,54,<54,<54,*,*,*,*,*,*,<32,<32,<32,108,108,216
rSARS-CoV-2_B.1+E484K,<80,<80,<80,*,*,*,160,160,160,160,160,640,160,320,<40,40,40,80,<80,80,1280,640,1280,320,160,640,*,*,*
