serum,virus,prnt,prntOrig
2.2,SARS-CoV-2_Alpha (21528),>5120,5624.08
4.1,SARS-CoV-2_Alpha (21528),>5120,12332.96
4.3,SARS-CoV-2_Delta (25853_23),>5120,11781.38
6.1,SARS-CoV-2_BA.1 (26335),>5120,9313.92
6.1,SARS-CoV-2_BA.2 (26729_2),>5120,7481.71
6.1,SARS-CoV-2_BA.2 (26729_12),>5120,6028.4
6.2,SARS-CoV-2_BA.2 (26729_12),>5120,6728.73
6.2,SARS-CoV-2_BA.2 (26729_2),>5120,9448.74
6.2,SARS-CoV-2_BA.4,>5120,6375.40
6.2,SARS-CoV-2_BA.5,>5120,7436.22
7.1,SARS-CoV-2_Alpha (21528),>5120,12332.96
7.1,SARS-CoV-2_Mu,>5120,6627.06
7.1,SARS-CoV-2_WT (984),>5120,9344.63
7.3,SARS-CoV-2_Alpha (21528),>5120,8489.52
8.3,SARS-CoV-2_Alpha (21528),>5120,6164.14
